municipality,season,mean_daily_hours_above_26,func_time
Bella_Flor,fall,7.967391304347826,480
Bella_Flor,spring,14.021978021978022,600
Bella_Flor,summer,8.12087912087912,480
Bella_Flor,winter,10.119565217391305,600
Bolpebra,fall,6.739130434782608,390
Bolpebra,spring,12.714285714285714,600
Bolpebra,summer,8.373626373626374,510
Bolpebra,winter,10.402173913043478,600
Cobija,fall,7.173913043478261,420
Cobija,spring,13.538461538461538,600
Cobija,summer,7.681318681318682,450
Cobija,winter,10.054347826086957,600
Exaltación,fall,8.771739130434783,540
Exaltación,spring,15.32967032967033,600
Exaltación,summer,9.131868131868131,540
Exaltación,winter,10.815217391304348,600
Filadelfia,fall,7.021739130434782,420
Filadelfia,spring,13.604395604395604,600
Filadelfia,summer,7.450549450549451,450
Filadelfia,winter,9.630434782608695,570
Guayaramerín,fall,9.032608695652174,540
Guayaramerín,spring,15.989010989010989,600
Guayaramerín,summer,9.582417582417582,570
Guayaramerín,winter,11.48913043478261,600
Ingavi,fall,8.782608695652174,540
Ingavi,spring,14.32967032967033,600
Ingavi,summer,8.538461538461538,510
Ingavi,winter,10.478260869565217,600
Ixiamas,fall,3.902173913043478,240
Ixiamas,spring,11.54945054945055,600
Ixiamas,summer,3.659340659340659,210
Ixiamas,winter,3.6630434782608696,210
Nueva_Esperanza,fall,8.184782608695652,480
Nueva_Esperanza,spring,14.67032967032967,600
Nueva_Esperanza,summer,8.648351648351648,510
Nueva_Esperanza,winter,8.76086956521739,540
Porvenir,fall,7.141304347826087,420
Porvenir,spring,13.593406593406593,600
Porvenir,summer,7.571428571428571,450
Porvenir,winter,9.771739130434783,600
Puerto_Gonzalo_Moreno,fall,9.054347826086957,540
Puerto_Gonzalo_Moreno,spring,15.373626373626374,600
Puerto_Gonzalo_Moreno,summer,9.219780219780219,540
Puerto_Gonzalo_Moreno,winter,11.358695652173912,600
Puerto_Rico,fall,8.108695652173912,480
Puerto_Rico,spring,14.142857142857142,600
Puerto_Rico,summer,8.362637362637363,510
Puerto_Rico,winter,10.445652173913043,600
Reyes,fall,6.891304347826087,420
Reyes,spring,15.703296703296703,600
Reyes,summer,7.637362637362638,450
Reyes,winter,6.413043478260869,390
Riberalta,fall,9.119565217391305,540
Riberalta,spring,15.43956043956044,600
Riberalta,summer,9.263736263736265,570
Riberalta,winter,11.33695652173913,600
Santa_Rosa_Beni,fall,9.652173913043478,570
Santa_Rosa_Beni,spring,19.13186813186813,600
Santa_Rosa_Beni,summer,10.868131868131869,600
Santa_Rosa_Beni,winter,11.326086956521738,600
Santa_Rosa_Pando,fall,8.347826086956522,510
Santa_Rosa_Pando,spring,14.45054945054945,600
Santa_Rosa_Pando,summer,8.626373626373626,510
Santa_Rosa_Pando,winter,10.956521739130435,600
Santos_Mercado,fall,11.717391304347826,600
Santos_Mercado,spring,19.802197802197803,600
Santos_Mercado,summer,13.043478260869565,600
Santos_Mercado,winter,14.706521739130435,600
San_Lorenzo,fall,8.706521739130435,510
San_Lorenzo,spring,15.32967032967033,600
San_Lorenzo,summer,9.153846153846153,540
San_Lorenzo,winter,10.434782608695652,600
San_Pedro,fall,7.728260869565218,450
San_Pedro,spring,13.736263736263735,600
San_Pedro,summer,7.868131868131868,480
San_Pedro,winter,10.032608695652174,600
Sena,fall,11.184782608695652,600
Sena,spring,18.23076923076923,600
Sena,summer,13.173913043478262,600
Sena,winter,12.91304347826087,600
Villa_Nueva,fall,11.630434782608695,600
Villa_Nueva,spring,18.692307692307693,600
Villa_Nueva,summer,13.619565217391305,600
Villa_Nueva,winter,14.58695652173913,600
