municipality,annual_mean_power_W,winter_mean_power_W,summer_mean_power_W,max_power_W,min_power_W
Bella_Flor,4690.135822515861,4981.503434750004,4399.671010734464,5025.317946131218,4356.53033260274
Bolpebra,4752.223328451934,5043.590940686078,4461.758516670536,5087.405452067293,4418.617838538812
Cobija,4745.222000232757,5036.5896124669,4454.757188451358,5080.404123848114,4411.616510319635
Exaltación,4589.135226899423,4880.502839133567,4298.670415118026,4924.31735051478,4255.529736986302
Filadelfia,4779.883323703076,5071.25093593722,4489.418511921678,5115.065447318432,4446.277833789954
Guayaramerín,4506.817627995314,4798.185240229457,4216.352816213916,4841.999751610672,4173.212138082192
Ingavi,4631.72034160262,4923.087953836763,4341.255529821222,4966.902465217977,4298.114851689497
Ixiamas,5357.431862333213,5648.799474567357,5066.967050551815,5692.613985948571,5023.8263724200915
Nueva_Esperanza,4736.971825438235,5028.339437672379,4446.5070136568365,5072.153949053592,4403.366335525114
Porvenir,4764.359452652848,5055.72706488699,4473.89464087145,5099.541576268205,4430.7539627397255
Puerto_Gonzalo_Moreno,4543.277114935952,4834.644727170095,4252.812303154554,4878.459238551309,4209.671625022831
Puerto_Rico,4658.503185803533,4949.870798037678,4368.038374022136,4993.68530941889,4324.897695890411
Reyes,4892.804324981614,5184.171937215759,4602.339513200215,5227.986448596972,4559.198835068493
Riberalta,4543.2823065341245,4834.64991876827,4252.817494752728,4878.464430149484,4209.676816621004
Santa_Rosa_Beni,4342.348255940518,4633.715868174662,4051.8834441591207,4677.530379555877,4008.742766027397
Santa_Rosa_Pando,4596.564251191659,4887.9318634258025,4306.099439410262,4931.746374807018,4262.958761278537
Santos_Mercado,3957.676272605019,4251.1196453147895,3666.685526751771,4293.656203692413,3624.8685901639333
San_Lorenzo,4600.41061466198,4891.778226896122,4309.945802880582,4935.592738277338,4266.805124748858
San_Pedro,4719.442852287551,5010.810464521695,4428.978040506154,5054.624975902908,4385.837362374429
Sena,4164.354431074966,4457.797803784737,3873.3636852217187,4500.33436216236,3831.5467486338803
Villa_Nueva,4050.9316157744197,4344.374988484189,3759.9408699211717,4386.911546861813,3718.1239333333333
